Anomaly_Type,Description_Norm,Counterparty_Core,Rule_ID,Txn_Count,Total_Amount,Avg_Amount,First_YearMonth,Last_YearMonth,Months_Span,Unique_Months,Recurrence_Pattern,Bank_Rail_Breakdown,Suggested_Category
OTHER_INCOME,CHEQUE DEPOSIT,CHEQUE DEPOSIT,R14_OTHER_INCOME,2,267653.37,133826.68,2023-11,2025-02,16,2,ONE_OFF,CHEQUE:$267653,
DISCRETIONARY,MISC DEBIT SB1012426283801,MISC DEBIT SB1012426283801,R15_GENERIC_OUTFLOW,1,-100000.0,-100000.0,2024-09,2024-09,1,1,ONE_OFF,OTHER:$100000,
OTHER_INCOME,PAYNOW-FAST PAYNOW OTHR TWINCAR LEASING PTE,PAYNOW-FAST PAYNOW OTHR TWINCAR LEASING PTE,R14_OTHER_INCOME,1,76000.0,76000.0,2025-11,2025-11,1,1,ONE_OFF,FAST:$76000,
DISCRETIONARY,PAYNOW-FAST MOTOR IMAGE ENTERPR MBK2511208260871899,PAYNOW-FAST MOTOR IMAGE ENTERPR MBK2511208260871899,R15_GENERIC_OUTFLOW,1,-68550.15,-68550.15,2025-11,2025-11,1,1,ONE_OFF,FAST:$68550,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST PIB2408063198789257 KERING SOUTH EAST AS OTHR TRANSFER - UEN,PAYNOW-FAST PIB2408063198789257 KERING SOUTH EAST AS OTHR TRANSFER - UEN,R15_GENERIC_OUTFLOW,1,-28323.91,-28323.91,2024-08,2024-08,1,1,ONE_OFF,FAST:$28323,POSSIBLE_TRANSFER
DISCRETIONARY,PAYNOW-FAST PIB2404052022050233 SINGJOY PTE. LTD. OTHR INV-22308,PAYNOW-FAST PIB2404052022050233 SINGJOY PTE. LTD. OTHR INV-22308,R15_GENERIC_OUTFLOW,1,-23204.0,-23204.0,2024-04,2024-04,1,1,ONE_OFF,FAST:$23204,POSSIBLE_TRANSFER
DISCRETIONARY,MISC DEBIT 8018623927-00000,MISC DEBIT 8018623927-00000,R15_GENERIC_OUTFLOW,1,-20845.5,-20845.5,2024-11,2024-11,1,1,ONE_OFF,OTHER:$20845,
DISCRETIONARY,FUNDS TRANSFER MBK-3493939244,FUNDS TRANSFER MBK-3493939244,R15_GENERIC_OUTFLOW,16,-18795.0,-1174.69,2021-01,2025-05,53,14,ONE_OFF,OTHER:$18795,POSSIBLE_TRANSFER
DISCRETIONARY,MISC DEBIT (SRS) PIB2111215947733448 SRS CONT 180544711,MISC DEBIT (SRS) PIB2111215947733448 SRS CONT 180544711,R15_GENERIC_OUTFLOW,1,-15300.0,-15300.0,2021-11,2021-11,1,1,ONE_OFF,OTHER:$15300,
DISCRETIONARY,MISC DEBIT (SRS) PIB2111215947777062 SRS CONT 180544738,MISC DEBIT (SRS) PIB2111215947777062 SRS CONT 180544738,R15_GENERIC_OUTFLOW,1,-15300.0,-15300.0,2021-11,2021-11,1,1,ONE_OFF,OTHER:$15300,
